Year,Fscale,Defensiveness,Depression,Psychopathy,Hypomania
1938,,,45.7,45.22,48.29
1938,,56.5,,,
1943,,,,,
1944,,,,,
1944,,,,,
1944,,,,,
1945,,,,,
1945,,,51.53,54.17,56.02
1946,,,,,
1947,,,,,
1947,,,,,
1947,,52.16,49.34,53.25,54.99
1948,,,52.2,55.85,59.65
1948,,,51.62,54.31,58.67
1948,52.1,55.9,51.1,55,57
1948,,54.66,51.05,55.59,56.82
1948,,54.81,50.98,55.62,56.89
1948,,54.76,52.04,58.06,59.33
1949,,54.52,51.43,55.3,57
1949,,54.7,48.45,57.45,61.24
1949,,53.5,51.26,55.3,57.7
1950,,,56.06,55.89,60
1950,55.1,60,50.1,55.6,54.6
1950,,,,,
1951,,,53.12,55.48,58.63
1951,,,51.35,51.9,52.9
1951,,,51.4,55.2,55.3
1951,,,,,
1952,,,,,
1953,,,,,
1953,50,61.7,50.4,55.9,55.3
1954,53.8,61.4,54.5,59.4,56.2
1954,,58.04,,55.6,54.9
1956,,,50.6,53.95,57.2
1956,,,,,58.72
1957,54.06,59.94,,,
1958,52.77,58.66,51.57,58.21,56.21
1958,51.46,56.72,50.58,56.66,55.63
1958,,56.34,,,
1958,,58.84,,,
1959,52.46,60.2,50.2,55.6,53.8
1959,51.66,56.33,51.54,56.63,55.79
1959,,,,,
1959,52.7,55.59,49.97,56.34,55.94
1960,,,51.5,57,53.5
1960,,,,,
1960,48.39,54.91,46.81,57.84,60.11
1960,52.62,56.09,50.22,57.83,57.96
1961,52.83,55.66,53.1,57.58,58.02
1961,52.82,55.51,49.3,55.78,55.95
1961,52.04,56.9,49.85,57.4,56.73
1962,52.75,56.4,50.85,58.2,57.35
1962,53.8,53.42,54.22,57.24,62.14
1962,53.01,54.34,51.46,56.85,58.58
1962,,,,,
1962,58.4,50.3,57.1,59.7,61
1962,53.6,55.9,53.9,58.6,60.1
1963,,,,,
1964,,,,,
1965,,,,,
1966,,,,,
1966,,,,,
1966,53.03,46.72,53.58,53.28,55.45
1967,55.79,54.61,55.05,59.12,60.99
1967,,,,,
1967,56.52,51.22,53.29,57.39,59.11
1968,,,,,
1969,,,57.3,,
1969,56.89,53.48,55.25,58.25,60.59
1969,,,,,
1970,,,,,
1970,,,,,
1970,,,,,
1971,,,,,
1971,,,,,
1972,53.9,54.4,50.9,54.9,58.8
1972,57.16,53.1,54.76,60.78,63.38
1972,,,,,
1973,55.22,55.32,52.54,63.91,65.43
1973,50.69,56.63,50.95,57.4,58.24
1973,,,,,
1977,62.56,49.65,57.58,63.73,65.65
1977,55.6,51.4,55.1,,
1979,59.34,49.66,54.5,58.11,64.84
1980,,,,,
1980,53.55,42.33,52.12,54.15,58.77
1980,,,,,
1981,56.2,53,57.6,60.7,60
1981,54.658,53.856,49.937,55.126,60.396
1981,,,,,
1981,57.78,51.71,52.17,59,64.45
1982,,,56.5,,
1982,,,,,
1982,,,,,
1983,60.77,52.78,57.39,61.27,64.38
1984,,,,,
1984,64.38,,,63.78,67.91
1984,,,55.337,,62.966
1984,56.97,52.16,51.2,57.99,61.87
1985,,,56.8,,
1985,,,,,
1985,,,55.2,55.1,57.1
1985,57.73,53.08,50.65,61.52,66.46
1985,,,,,
1987,,,,,
1987,55.84,53.73,54.85,60.45,62.86
1987,58.52,50.82,55.78,56.75,63.82
1988,,,,,
1988,55.85,54.03,54.53,60.01,62.58
1988,55,52,53,58,62
1988,52.4,56.7,53.9,57.6,57.5
1989,,,,,
1989,59.8,51.65,54.3,62.21,64.92
1989,66.9,50.8,58.1,65.1,68.5
1989,56.83,51.55,53.46,61.99,67.59
1989,57.16,53.16,53.86,61.51,64.01
1989,56.18,53.1,52.46,60.8,63.3
1989,55.83,53.73,54.85,60.44,62.86
1989,,46.22,,,
1990,,,,,
1990,,,,,
1990,,50.625,,,
1990,,,54.444,61.397,
1990,64.42,50.69,61.44,63.79,68
1990,57.62,51.85,54.21,62.95,66.17
1990,56.72,50.31,55.08,60.58,64.68
1990,60.67,51.95,55.77,62.64,64.59
1990,58.02,49.83,53.87,61.48,65.27
1991,59.78,49.17,57.58,69.11,66.57
1991,60.57,49.84,62.37,60.5,63.18
1991,61.97,50,57.73,62.74,66.61
1991,52.01,52.46,56.07,63.46,65.66
1991,57.8,50.6,55.6,59,64.9
1991,,,,,
1991,,,53.84,61.41,63.07
1992,,,,,
1992,57.62,50.51,55.2,58.24,63.03
1992,,,51.47,,
1992,55.42,58.41,55.1,62.43,66.05
1992,,,,,
1992,59.62,49.09,55.34,60.49,65.25
1992,,,,,
1992,53.2,52.5,53.95,60.5,64
1992,58.2,50.42,55.29,61.71,65.25
1993,,51.5,53.84,65.39,66.84
1994,,,61.94,,
1994,57.78,52.91,,,
1994,56.59,53.7,54.42,60.48,63.64
1994,65.84,50.76,63.63,66.53,65.43
1995,,50.83,,,
1995,57.11,52.84,55.35,61.94,66.02
1995,61.44,56.01,56.38,62.97,66.48
1996,,,59.64,,
1996,,,59.64,,
1996,55.03,55.16,56.22,61.84,62.7
1997,58.12,57.55,,,
1997,,53.41,55.02,61.71,71.45
1997,,,,,
1997,,,57.59,66.7,69.34
1997,56.2,53.48,57.7,64.76,65.03
1998,60.09,55.94,56.88,64.2,61.65
1998,56.92,52.24,56.96,62.8,65.87
1998,60.87,57.82,58.18,62.81,65.54
1999,56.29,53.2,54.89,63.55,62.35
1999,59.08,50.48,57.79,66,65.93
1999,,54.82,,,
2000,55.92,52.5,57.77,64.9,66.68
2000,58.74,51.42,56.29,63.9,68.25
2001,59.47,51.24,,,
2001,,,,,
2001,61.88,59.84,60.06,64.9,61.11
2001,56.8,57.14,59.3,63.88,62.87
2002,60.24,50.75,53.62,62.11,67.95
2002,56.99,53.91,54.46,64.83,66.86
2003,,,,,
2005,58.92,54.85,52.65,59.69,64.3
2007,61,50.5,56.59,60,64.84
