"","big5_agreeableness","facet_altruism","facet_cooperation","facet_modesty","facet_morality","facet_sympathy","facet_trust","big5_conscientiousness","facet_achievement_striving","facet_cautiousness","facet_dutifulness","facet_orderliness","facet_self_discipline","facet_self_efficacy","big5_extraversion","facet_activity_level","facet_assertiveness","facet_cheerfulness","facet_excitement_seeking","facet_friendliness","facet_gregariousness","big5_neuroticism","facet_anger","facet_anxiety","facet_depression","facet_immoderation","facet_self_consciousness","facet_vulnerability","big5_openness","facet_adventurousness","facet_artistic_interests","facet_emotionality","facet_imagination","facet_intellect","facet_liberalism","need_liberty","need_ideal","need_love","need_practicality","need_self_expression","need_stability","need_structure","need_challenge","need_closeness","need_curiosity","need_excitement","need_harmony","value_conservation","value_hedonism","value_openness_to_change","value_self_enhancement","value_self_transcendence","behavior_sunday","behavior_monday","behavior_tuesday","behavior_wednesday","behavior_thursday","behavior_friday","behavior_saturday","behavior_0000","behavior_0100","behavior_0200","behavior_0300","behavior_0400","behavior_0500","behavior_0600","behavior_0700","behavior_0800","behavior_0900","behavior_1000","behavior_1100","behavior_1200","behavior_1300","behavior_1400","behavior_1500","behavior_1600","behavior_1700","behavior_1800","behavior_1900","behavior_2000","behavior_2100","behavior_2200","behavior_2300","word_count","processed_language","big5_agreeableness_significant","facet_altruism_significant","facet_cooperation_significant","facet_modesty_significant","facet_morality_significant","facet_sympathy_significant","facet_trust_significant","big5_conscientiousness_significant","facet_achievement_striving_significant","facet_cautiousness_significant","facet_dutifulness_significant","facet_orderliness_significant","facet_self_discipline_significant","facet_self_efficacy_significant","big5_extraversion_significant","facet_activity_level_significant","facet_assertiveness_significant","facet_cheerfulness_significant","facet_excitement_seeking_significant","facet_friendliness_significant","facet_gregariousness_significant","big5_neuroticism_significant","facet_anger_significant","facet_anxiety_significant","facet_depression_significant","facet_immoderation_significant","facet_self_consciousness_significant","facet_vulnerability_significant","big5_openness_significant","facet_adventurousness_significant","facet_artistic_interests_significant","facet_emotionality_significant","facet_imagination_significant","facet_intellect_significant","facet_liberalism_significant","need_liberty_significant","need_ideal_significant","need_love_significant","need_practicality_significant","need_self_expression_significant","need_stability_significant","need_structure_significant","need_challenge_significant","need_closeness_significant","need_curiosity_significant","need_excitement_significant","need_harmony_significant","value_conservation_significant","value_hedonism_significant","value_openness_to_change_significant","value_self_enhancement_significant","value_self_transcendence_significant","year","OpennessRepaired"
"1",0.0632387944796744,0.956262910670349,0.65098642520638,0.28943701229239,0.408573733260584,0.995580362632017,0.957152721878895,0.905875476582769,0.876556553240328,0.841973638704892,0.738644240352003,0.240240732554402,0.258630190872968,0.864922566386189,0.364314081253145,0.927102261430258,0.878782635132276,0.0538016766569085,0.367932913386989,0.296950850754837,0.0710660503339854,0.126418872227684,0.219006107206953,0.565910199956477,0.826552056842043,0.0565626098324194,0.666901163096288,0.38941671302193,0.999911829786126,0.57465270168253,0.993846008420217,0.813219478964017,0.736710239432048,0.990240482777289,0.990851716258408,0.0385822194861054,0.0215521657688308,0.0192065211861847,0.00616807344392939,0.0654163664722975,0.305038890566785,0.734884929640925,0.00707598832842093,0.188812777758237,0.920241805211566,0.134903060703274,0.0747647591275549,0.156417253199192,0.00964868710568972,0.774539440309393,0.106793312756454,0.253555793321539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1825,0.793906063022255
"2",0.0747181306161619,0.904793747538009,0.751487996513389,0.244676305453058,0.614001434485559,0.993893531763393,0.898068136037327,0.943141617610667,0.870359499069747,0.929304620003771,0.807408913877108,0.497216398462209,0.461280480573862,0.868541142836045,0.242706399240961,0.897682475932681,0.915614223758684,0.0443350869002722,0.202007935471769,0.309431292394809,0.0528193549922082,0.0429948799262462,0.0714496660651573,0.265365761360208,0.579049296034241,0.0429686047409823,0.483724789290813,0.175027951425995,0.999629723124572,0.417739323305832,0.978823885306053,0.49722845117016,0.421869507920673,0.998395100917638,0.960596035278637,0.0217159769145854,0.0152335367106439,0.011091924033715,0.0106615084541171,0.0308804055198465,0.164643350798834,0.716013994901209,0.00397856968497318,0.16831082590412,0.860920060914596,0.0694101284845491,0.046310216124724,0.141839293611634,0.00535933518115445,0.573305622433654,0.00938259773292743,0.0952270476780532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2834,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1857,0.631263886594015
"3",0.320649005343279,0.992679257683875,0.834786999991731,0.503175557908995,0.923072169357868,0.999414644149583,0.880595924298686,0.981692237512938,0.917005392316941,0.936990653515678,0.838722428846343,0.582457859728064,0.848449841464979,0.823951919026737,0.343411740940197,0.98406407679075,0.975479167781593,0.641512838751903,0.196240566422662,0.906976853273668,0.414623759263506,0.300973526828142,0.0144505319720161,0.0709353512898711,0.184902745194324,0.0298974559272903,0.0823007731391149,0.0703111847655204,0.991394999631638,0.780435716247409,0.993911457372169,0.804792972586095,0.39750342250769,0.995988563596274,0.793405155527415,0.137425234538805,0.130171533282686,0.0753930106845337,0.0283729536317118,0.232211859097992,0.421813369006389,0.842501689106014,0.0311869363237728,0.469506324242821,0.831294959339708,0.0868536460282843,0.444993227898294,0.540653471749292,0.0148315901255979,0.64508856184044,0.00734167749968934,0.337071936742288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1989,0.859713382068558
"4",0.225376759413705,0.990763312042884,0.905046378034835,0.739046304976022,0.953456669758275,0.99951555773169,0.807177879093546,0.97809225521858,0.923629248832203,0.977876081974939,0.89018482775495,0.591456867682184,0.834367052639623,0.787948775396361,0.206904004558908,0.986384757223367,0.969794688983303,0.426665857081455,0.110813897880645,0.855560389820337,0.243360812839845,0.0537005884528132,0.0064716130870629,0.0670658320881122,0.201637907697205,0.00280664323305352,0.106365150173141,0.0850831094535108,0.995454163702116,0.783425783756726,0.998014142897928,0.785410120515043,0.142055895313183,0.993711124863549,0.805354564525161,0.065519335672364,0.0294637599959365,0.028888990321404,0.0031891249085223,0.230507025531051,0.391436022776494,0.761373434456618,0.00163924662957843,0.4933584616596,0.86600435108519,0.0500054254872288,0.355386751364851,0.431734178321413,0.00251494601916702,0.554205626545457,0.000118123120246616,0.34565610207352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",2001,0.855616682389899
"5",0.102284078087525,0.97992586146224,0.831016919376048,0.618595364266806,0.872381259472441,0.997439067385652,0.877285555751047,0.978886475054223,0.91261936068889,0.966435458151237,0.90911367458781,0.673465175333596,0.716689314663078,0.839199414464168,0.185025617770154,0.973137559676151,0.93891027179102,0.271132391889215,0.162423381115818,0.700009759702903,0.155787394261663,0.0562855629545388,0.0223030099385402,0.152582145347304,0.371732649227416,0.00658964167541215,0.281287168013204,0.108477506736113,0.997005245509781,0.685520705311113,0.998086363912695,0.832866031584411,0.281730188999182,0.98499555444754,0.895614915701318,0.0510110583066368,0.0210183087345425,0.00436672848149655,0.00493953847508516,0.151213762101896,0.422761019367308,0.735620221967875,0.0017826255054571,0.298530171371342,0.872649116897908,0.0819185035327757,0.263449661728068,0.403317441984089,0.0057424723970565,0.659604590445407,0.00664369291366035,0.284044013520265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2085,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",2005,0.838824366936073
"6",0.219174463828774,0.988556566010105,0.916531752235041,0.616351683939718,0.958891215465895,0.999054062095751,0.903638323010438,0.980095362409904,0.945476962287429,0.976902225928042,0.907508588250788,0.592273400384133,0.896718716508311,0.892803225445344,0.104839399139478,0.99125841966557,0.986730142067147,0.52667207594268,0.148090790653182,0.862898287830645,0.217393023034248,0.0908452540516547,0.00775532727924116,0.0444228829866889,0.15526461871951,0.00646783516683158,0.144860057756064,0.0612149370001293,0.988006871289929,0.754113186764366,0.989248123362309,0.774101409477519,0.173296463760974,0.993847334484036,0.74181282723345,0.19926731594328,0.141210021730972,0.04921521144011,0.0288511696521517,0.255609855680173,0.500545972855759,0.932544263325692,0.0200391156438231,0.648695938741058,0.95197347319818,0.154442896693182,0.613186876329393,0.712168002466549,0.0078177648326474,0.725344728247675,0.00424314955292387,0.415374806835447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1977,0.839154239868065
"7",0.0637059357065055,0.913031666572867,0.536412277804594,0.263175208051128,0.518358036535584,0.985541323768438,0.923931035076944,0.935547117375355,0.902389665174941,0.861649799249586,0.636030572087114,0.375595168979414,0.403096808922149,0.90033151127816,0.457082212901336,0.949365101658248,0.96408899815371,0.12010048475169,0.396602390206989,0.430138754381655,0.173827272216979,0.0149033324169845,0.1195184143696,0.335143636942432,0.63084852396202,0.0319651059775924,0.389621213239422,0.212974536734889,0.999658291772249,0.554974649050052,0.987559301525588,0.560083212241006,0.475668294883973,0.983979025050787,0.97365928159999,0.047343788424034,0.0219638911410864,0.0250475421574693,0.0169039472288995,0.111577808682035,0.304035966928832,0.799071843735331,0.0114323432470806,0.245632881893482,0.890101379962632,0.140446528116408,0.0908212272434652,0.214720760158779,0.00829033690697639,0.749217594150832,0.0783841778218996,0.208495550235924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1688,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1885,0.700872387605548
"8",0.0609131863946492,0.926845315280026,0.622886191833391,0.293855278059809,0.700488295010037,0.995349430159427,0.867994489139157,0.928080201126332,0.913794194411987,0.929349445573044,0.676805455032768,0.314845966907298,0.471931048322046,0.926259428437783,0.291503431884496,0.967835644760875,0.96379041429123,0.0764480415618679,0.257811545877499,0.351398761126346,0.0653027902654697,0.0410693911064441,0.102089212052014,0.306224255777986,0.593745095001544,0.0279552751412485,0.475391608145172,0.210153163502227,0.999465147463344,0.644523245994946,0.987401005276554,0.669073676790291,0.512324763566808,0.994999115509666,0.977179512436671,0.0631464441439417,0.0418215047154968,0.0230377610480781,0.0240213312284538,0.201724413677473,0.359215697165116,0.725100795467881,0.0122854296182158,0.29319853993219,0.958919300201291,0.0957668730489155,0.213209916642901,0.187310272645911,0.0100726979327501,0.77080230116721,0.0579912592842912,0.372608530275573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1893,0.76699930935393
"9",0.170705710830577,0.998404105109479,0.891753271318863,0.741253934787408,0.95241833008781,0.999618966925897,0.941475097315964,0.972582317912454,0.95428951829244,0.957144163647267,0.934564260043154,0.64231387262596,0.873648862006535,0.889872623676714,0.230197267997916,0.995464493195837,0.98948525027149,0.670426997243272,0.222584802377181,0.927531580724164,0.569365745432721,0.305296152132928,0.00270637190641732,0.04504663503891,0.190425737425099,0.00713258441314291,0.0512249437718491,0.0321831965885386,0.977330315986992,0.950009839730454,0.995368999297988,0.819926670062269,0.280683765461466,0.982611660564952,0.809287753233459,0.136112844403391,0.051142031067692,0.038988517228665,0.0102878317055085,0.193977633954816,0.44220899674807,0.819150165157305,0.00455355874644864,0.431956264738501,0.79362827244511,0.0922896489124277,0.477366888479593,0.617695739465073,0.00409709059773317,0.717638324771943,0.00187730028988958,0.399257538587214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1993,0.921768503030237
"10",0.133190743956196,0.987737147429867,0.862711195165415,0.741191960340024,0.916036501964297,0.998235370353781,0.934308257803952,0.971617696292121,0.915708950427305,0.960245856728955,0.846739382251721,0.754074853340555,0.73202740619067,0.827734572260563,0.130829429690231,0.977252231985728,0.966844628392845,0.420493998587011,0.267306635401577,0.854058487914418,0.476437045894117,0.249995753120624,0.00292946150559487,0.03374447766169,0.218640902138937,0.00741198287544098,0.0935615705855025,0.0377381527919394,0.987793333219596,0.91216558234745,0.993359215398006,0.670544628642914,0.347207084487452,0.988085996027022,0.886716155321976,0.111709875581733,0.0194350500028944,0.0233621865745749,0.0121333758291888,0.139486963585978,0.303993412361005,0.856641783489613,0.00405992413030726,0.262637642503818,0.748785417907832,0.0850359224435991,0.269112053066282,0.582155497456887,0.0029812685356318,0.611016678382943,0.00122852780179128,0.278504463634307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2158,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1997,0.858689808796123
"11",0.0707802339751475,0.925645058735059,0.818252321188861,0.283130002229946,0.806173458931423,0.996949924055952,0.820764071721461,0.944248840233396,0.87369957993684,0.954450924101931,0.767687359077333,0.408658363226,0.58397183940313,0.847467156927537,0.218253161114072,0.947487540202497,0.963894374446338,0.0786184245414599,0.104793527765936,0.404745678944319,0.0604948234847515,0.033456213528904,0.0304046420008757,0.139095008469684,0.504447681261402,0.0232957102540818,0.382785048692027,0.104054003269303,0.999666153509815,0.643551548292752,0.985261621402524,0.501909480243516,0.319242139536607,0.997749844789325,0.970226922335495,0.0444450042147801,0.0329685572293884,0.00886646263971208,0.0137902743640659,0.0733924615485791,0.27392877393056,0.694470647892047,0.00455191183285536,0.287882489279277,0.925913625360033,0.0603757224263188,0.114695173628425,0.1350805771725,0.0057522080423979,0.740159921745924,0.00714048146423824,0.161982819712579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4057,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1925,0.710240883312931
"12",0.130747687709649,0.990132622259867,0.825166763455159,0.625887389568714,0.855265041511269,0.998564393126992,0.939988110687702,0.958343864342928,0.898926876913141,0.930189775478139,0.824353532079236,0.751082236166201,0.725850793683381,0.881556296184345,0.175163092549824,0.991762553169098,0.96276022560227,0.335241898954603,0.350953832341067,0.811901533518226,0.320601616005295,0.222683999889835,0.0196203726003072,0.12510628915063,0.382344325105464,0.00652534557923573,0.189502824150021,0.110199058089318,0.99866614720016,0.8181173727409,0.99926284854757,0.895668802162084,0.422985769396205,0.992820926641597,0.900273590292562,0.204469058320582,0.0437849046159344,0.0258074115296936,0.0154767225048671,0.289293463290427,0.420846143380922,0.806081195774198,0.00488865403993849,0.380761730102017,0.976801374035472,0.191504304541704,0.452857701678824,0.442985314514309,0.00748383615565329,0.831601914749744,0.0218659902840107,0.559909572917504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2449,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1953,0.904349674483518
"13",0.180989449381913,0.993979370056147,0.860331009515091,0.743077396068448,0.913025646869816,0.999230698640147,0.890805915085969,0.956480456166037,0.85780902460096,0.94727742135433,0.860120675761041,0.791344920510977,0.76984329021199,0.820099127963919,0.130826884130916,0.988747967421439,0.958460087328709,0.43972350194691,0.318149893591089,0.791728621566216,0.278911592616189,0.240378838149459,0.010350491670702,0.0976836358671505,0.413658019210721,0.00372976259626412,0.161787545971249,0.0779019343311113,0.998709902314657,0.870076831583859,0.999540576362076,0.917972894223071,0.432524078121303,0.988109323223255,0.859697320270395,0.214660434020781,0.039645550088327,0.0301785283327858,0.0144034233730606,0.356548385106833,0.457664122449411,0.787449102533225,0.00132397515086402,0.488512983767187,0.955316962018762,0.182897217992842,0.530892025463011,0.476476976571812,0.0109283420004557,0.85148391601558,0.017917943116687,0.503908212357607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1957,0.929196767389669
"14",0.0582061291449878,0.838099026304618,0.68944164341768,0.303713516864047,0.593386026940117,0.986742053922552,0.866693199396758,0.948621016821269,0.866523346181657,0.946360225400281,0.739381122787647,0.535919560201356,0.465639814535168,0.832433996081717,0.303700414289808,0.897945526708939,0.886522264131544,0.0378610808840024,0.145973233196106,0.250765120267923,0.045634295967031,0.0326073836276558,0.0857543656614638,0.252246176513145,0.64864525901705,0.0248097713068708,0.562757550090249,0.183249003522997,0.999864175469142,0.543070634665905,0.984792604611789,0.442100261597689,0.453882440177116,0.991981983501029,0.96976415882445,0.022892062690717,0.0107597165704458,0.00375429677704797,0.014242866814524,0.0477523926556691,0.204736560966171,0.783579889224114,0.00291073372201844,0.142918237026084,0.87057997693453,0.0703312618220202,0.0737824165323315,0.177625237894913,0.00609105124634718,0.680668125568717,0.0280204107425093,0.108760606886924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2986,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1881,0.656654500291794
"15",0.121215360303651,0.862905260837809,0.663281700110419,0.270221808355231,0.825959479348632,0.984956159820957,0.803898073670679,0.961464071638565,0.906276336862569,0.955561817643396,0.804548213666739,0.426014814699373,0.701255660845007,0.922303955013363,0.198617382001932,0.940085047207861,0.97060361484287,0.068843200818748,0.186893100167051,0.38611897024038,0.0665683022488051,0.0154458097602084,0.0304214968094266,0.0806184032363921,0.339238509218145,0.0311380913344572,0.349307347191935,0.0699750291810781,0.992594586542223,0.632659952056223,0.911889524680343,0.308839305389556,0.273327852803195,0.998699631393367,0.92366720395808,0.0690445013197587,0.0648498109090732,0.0154879192987559,0.054268245205243,0.0643010121455841,0.22828706812488,0.800715404581226,0.0528298539611571,0.222815399927093,0.831389722591896,0.144755390761315,0.0946836466134615,0.249523123190406,0.0214555759713543,0.577107823160189,0.0388384342515121,0.14798167861426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1869,0.617796260708707
"16",0.0573340891080128,0.796730813186587,0.686457573745251,0.289414338773258,0.570765302788354,0.990174103307702,0.906199473487972,0.900163313592304,0.83634281998305,0.919054589069187,0.74802845821316,0.198796103638151,0.358145798537237,0.723064479483357,0.272708051779326,0.923600021834312,0.856192173351229,0.0528987253559326,0.153094114159053,0.20359843698833,0.0253217245730949,0.193927100249576,0.109092296783888,0.296505438860542,0.706758862614328,0.128532214675742,0.577741334801596,0.296187971993201,0.99893063237964,0.546973067117146,0.959742954577178,0.452773412430323,0.461698260946877,0.998738484435297,0.98746489913032,0.0484413445976646,0.0375085609981047,0.0126554173827911,0.0311167549231197,0.0318045673670349,0.209296769498163,0.853022279238739,0.00994643029953957,0.132292109887692,0.836321374699144,0.0541366565572683,0.0595067815509682,0.164666244353268,0.00838794191728248,0.553410648282572,0.0366923311283259,0.221302396827631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,"en","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true",1873,0.653163144708216
